iccid,msisdn,consecutive,inventory_status,offer
8901000000000001000,9900001000,1000,AVAILABLE,100
8901000000000001001,9900001001,1001,AVAILABLE,100
8901000000000001002,9900001002,1002,RESERVED,100
8901000000000001003,9900001003,1003,AVAILABLE,200
8901000000000001004,9900001004,1004,DELIVERED,200
8901000000000001006,9900001006,1006,AVAILABLE,100
8901000000000001007,9900001007,1007,RESERVED,100
8901000000000001008,9900001008,1008,DELIVERED,200
8901000000000001009,9900001009,1009,AVAILABLE,200
8901000000000001010,9900001010,1010,AVAILABLE,100
8901000000000001011,9900001011,1011,RESERVED,100
8901000000000001014,9900001014,1014,AVAILABLE,200
8901000000000001015,9900001015,1015,DELIVERED,200
8901000000000001016,9900001016,1016,AVAILABLE,100
8901000000000001017,9900001017,1017,RESERVED,100
8901000000000001018,9900001018,1018,AVAILABLE,200
8901000000000001019,9900001019,1019,DELIVERED,200

