iccid,delivery_date,platform,equipment
8901000000000000001F,2026-01-02,Web,Alpha One
8901000000000000002F,2026-01-02,WEB,ALPHA-1
8901000000000000004F,2026-01-03,RETAIL,Beta 2
8901000000000000005F,2026-01-04,WEB,Alpha One
8901000000000000005F,2026-01-04,RETAIL,Beta 2
8901000000000000006F,2025-12-30,WEB,Alpha One
8901000000000000007F,2026-03-01,WEB,Alpha One
8901000000000000008F,2026-01-10,Partner,Gamma 3
8901000000000000009F,2026-02-20,WEB,Alpha One
8901000000000000010F,2026-03-10,Partner,Gamma 3
