iccid,status_date,status
8901000000000000001F,2026-01-02,Idle
8901000000000000001F,2026-01-05,Active
8901000000000000001F,2026-03-04,Active
8901000000000000002F,2026-01-02,Idle
8901000000000000002F,2026-01-20,Active
8901000000000000002F,2026-03-01,Inactive
8901000000000000004F,2026-01-04,Idle
8901000000000000005F,2026-01-09,Active
8901000000000000005F,2026-03-05,Active
8901000000000000007F,2026-03-05,Active
8901000000000000008F,2026-02-01,Active
8901000000000000008F,2026-03-12,Active
8901000000000000009F,2026-02-21,Active
8901000000000000010F,2026-03-11,Idle
8901000000000000999F,2026-04-15,Idle
